Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-01-04 00:00:00,33000.05,33111.44,32400.25,32843.88,4792.206831,2021-01-04 00:59:59.999,157090780.02866300,102303,2337.32205,76640069.54148750,0
2021-01-04 01:00:00,32843.89,33327.0,32602.47,33191.04,3390.023872,2021-01-04 01:59:59.999,111723279.13155600,77232,1619.899097,53373905.14610670,0
2021-01-04 02:00:00,33191.05,33588.0,32958.38,33454.22,3180.350783,2021-01-04 02:59:59.999,105765257.0303550,73174,1565.736806,52080821.901355,0
2021-01-04 03:00:00,33454.21,33510.71,33160.0,33505.16,3174.209134,2021-01-04 03:59:59.999,105885637.6710660,74546,1550.96606,51736216.72372780,0
2021-01-04 04:00:00,33505.15,33600.0,33186.14,33257.55,3167.029273,2021-01-04 04:59:59.999,105695860.81391,70718,1582.286688,52806095.53989330,0
2021-01-04 05:00:00,33257.56,33315.9,32802.25,32813.01,3990.70088,2021-01-04 05:59:59.999,132098247.2739150,86995,1912.44957,63309431.04982460,0
2021-01-04 06:00:00,32813.01,33408.0,32813.0,33100.02,4768.764928,2021-01-04 06:59:59.999,157679676.36409500,93791,2665.124177,88130614.48937730,0
2021-01-04 07:00:00,33100.02,33148.69,31505.0,32068.84,9472.376828,2021-01-04 07:59:59.999,305928119.96734800,163230,4856.669063,156851370.47884100,0
2021-01-04 08:00:00,32068.84,32567.88,31450.0,32045.14,6529.253248,2021-01-04 08:59:59.999,209132998.40311800,125127,2998.787733,96102959.1323093,0
2021-01-04 09:00:00,32045.15,32152.15,30248.85,31038.63,11271.896531,2021-01-04 09:59:59.999,351321935.496181,173055,5038.681882,157122742.24963200,0
2021-01-04 10:00:00,31038.35,31227.33,28130.0,30270.76,19376.831179,2021-01-04 10:59:59.999,573629351.3164220,305630,9223.430257,273302725.9663000,0
